name,value
0,582
1,565
2,640
3,666
4,700
5,665
6,699
7,683
8,694
9,711
10,701
11,719
12,741
13,747
14,744
15,789
16,810
17,735
18,655
19,550
20,534
21,492
22,508
23,548
24,585
25,568
26,611
27,682
28,692
29,701
30,762
31,810
32,805
33,814
34,793
35,847
36,880
37,932
38,956
39,992
40,1098
41,1104
42,1110
43,1082
44,1013
45,985
46,895
47,934
48,933
49,610
50,855
51,793
52,812
53,782
54,753
55,752
56,799
57,759
58,723
59,783
60,876
61,765
62,857
63,856
64,1014
65,1110
66,1250
67,1259
68,1024
69,584
70,646
71,818
72,885
73,833
74,758
75,691
76,592
77,609
78,590
79,675
80,573
81,551
82,532
83,476
84,491
85,377
86,414
87,356
88,340
89,282
90,248
91,213
92,141
93,112
94,97
95,104
96,51
97,32
98,36
99,19
